name,price,link
Pokój dla 2 osób w centrum Berlina,"325 zł 
252 zł 
noc
252 zł za noc, wcześniej 325 zł",https://www.airbnb.pl/rooms/927549849154913970?adults=2&check_in=2025-08-17&check_out=2025-08-20&search_mode=regular_search&source_impression_id=p3_1755449743_P3cGyYsERUFMDNrw&previous_page_section_name=1000&federated_search_id=dfef4d9f-76d1-4b1a-ba9c-8693e4044ff9
Pokój dwuosobowy z łazienką / TV nr 1,"439 zł 
303 zł 
noc
303 zł za noc, wcześniej 439 zł",https://www.airbnb.pl/rooms/6697033?adults=2&check_in=2025-08-17&check_out=2025-08-20&search_mode=regular_search&source_impression_id=p3_1755449744_P3UXiz2JoV7dluyw&previous_page_section_name=1000&federated_search_id=dfef4d9f-76d1-4b1a-ba9c-8693e4044ff9
"Central, Stylish Apartment Near Underground","327 zł 
noc
327 zł za noc",https://www.airbnb.pl/rooms/1486184490045648302?adults=2&check_in=2025-08-17&check_out=2025-08-20&search_mode=regular_search&source_impression_id=p3_1755449744_P3N6D7mIKL3Guo8Z&previous_page_section_name=1000&federated_search_id=dfef4d9f-76d1-4b1a-ba9c-8693e4044ff9
Modern Flat in Kreuzberg 2 bath rooms,"388 zł 
noc
388 zł za noc",https://www.airbnb.pl/rooms/1034665825236371167?adults=2&check_in=2025-08-17&check_out=2025-08-20&search_mode=regular_search&source_impression_id=p3_1755449744_P3U6AQ7c70-9IKVD&previous_page_section_name=1000&federated_search_id=dfef4d9f-76d1-4b1a-ba9c-8693e4044ff9
1 Charming 2 Room Apartment in Berlin Mitte,"947 zł 
527 zł 
noc
527 zł za noc, wcześniej 947 zł",https://www.airbnb.pl/rooms/16167936?adults=2&check_in=2025-08-17&check_out=2025-08-20&search_mode=regular_search&source_impression_id=p3_1755449744_P3iidcTrpdHVwrAZ&previous_page_section_name=1000&federated_search_id=dfef4d9f-76d1-4b1a-ba9c-8693e4044ff9
Prywatny pokój w Central City West / 7.,"326 zł 
231 zł 
noc
231 zł za noc, wcześniej 326 zł",https://www.airbnb.pl/rooms/18610999?adults=2&check_in=2025-08-17&check_out=2025-08-20&search_mode=regular_search&category_tag=Tag%3A8678&photo_id=1710407539&source_impression_id=p3_1755449744_P3gpWWe0cpe5WvCc&previous_page_section_name=1000&federated_search_id=dfef4d9f-76d1-4b1a-ba9c-8693e4044ff9
Nowoczesne studio City dla 2 osób,"319 zł 
228 zł 
noc
228 zł za noc, wcześniej 319 zł",https://www.airbnb.pl/rooms/1467329584316761882?adults=2&check_in=2025-08-18&check_out=2025-08-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1755449746_P35Lzyvr9DYmgR4d&previous_page_section_name=1000&federated_search_id=dfef4d9f-76d1-4b1a-ba9c-8693e4044ff9
Mały pokój w centrum Mitte,"379 zł 
337 zł 
noc
337 zł za noc, wcześniej 379 zł",https://www.airbnb.pl/rooms/1181979091838046551?adults=2&check_in=2025-08-19&check_out=2025-08-21&search_mode=regular_search&category_tag=Tag%3A8678&children=0&infants=0&pets=0&photo_id=1933394002&source_impression_id=p3_1755449746_P3n1FYkXFkYQaZNO&previous_page_section_name=1000&federated_search_id=dfef4d9f-76d1-4b1a-ba9c-8693e4044ff9
Studio „paląca dama” pośrodku wszystkiego,"542 zł 
358 zł 
noc
358 zł za noc, wcześniej 542 zł",https://www.airbnb.pl/rooms/839069734231196810?adults=2&check_in=2025-08-18&check_out=2025-08-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1755449746_P3fO5oKZ9dQUR-lZ&previous_page_section_name=1000&federated_search_id=dfef4d9f-76d1-4b1a-ba9c-8693e4044ff9
"Apt ""mother-of-pearl reflection"". Vibrant location","347 zł 
327 zł 
noc
327 zł za noc, wcześniej 347 zł",https://www.airbnb.pl/rooms/1099404106302844707?adults=2&check_in=2025-08-18&check_out=2025-08-20&search_mode=regular_search&children=0&infants=0&pets=0&source_impression_id=p3_1755449746_P3CxK0Ynyv4U0pBQ&previous_page_section_name=1000&federated_search_id=dfef4d9f-76d1-4b1a-ba9c-8693e4044ff9
