name,price,link
Classik Hotel Hackescher Markt - Self Check In,"1,634 zł",https://www.booking.com/hotel/de/hotelhackeschermarkt.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iZXJsaW5IM1gEaLYBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKTiYjFBsACAdICJDJjYTFmYmI2LTlkNTQtNGRkZS1hNTM4LTgyNTZhNDIwZjhhOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-08-17&checkout=2025-08-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=67977489519a0367&srepoch=1755448473&all_sr_blocks=6174424_414270587_2_2_0_159934&highlighted_blocks=6174424_414270587_2_2_0_159934&matching_block_id=6174424_414270587_2_2_0_159934&sr_pri_blocks=6174424_414270587_2_2_0_159934_38388&from_sustainable_property_sr=1&from=searchresults
"Hotel Berlin, Berlin, a member of Radisson Individuals","1,263 zł",https://www.booking.com/hotel/de/bbberlin.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iZXJsaW5IM1gEaLYBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKTiYjFBsACAdICJDJjYTFmYmI2LTlkNTQtNGRkZS1hNTM4LTgyNTZhNDIwZjhhOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-08-17&checkout=2025-08-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=67977489519a0367&srepoch=1755448473&all_sr_blocks=6005299_375773172_2_2_0&highlighted_blocks=6005299_375773172_2_2_0&matching_block_id=6005299_375773172_2_2_0&sr_pri_blocks=6005299_375773172_2_2_0__29671&nad_id=0744bbe1-992d-43da-8d58-70f070784820_1&nad_cpc=0.9&nad_track=eyJhdWN0aW9uRXBvY2giOjE3NTU0NDg0Njc3MjQsInJhbmsiOjEsImtvZGRpVHJhY2tpbmdJbmZvIjoiMG5qQitWMkhpSjhrOFVMUFVXMWVNTUYwajlQekNGMUMrODBzWkh1ZkpsOWZsbXBrRmlGSUVHOUE0LzM5ZUFDaURCcW82U2RycXlkMWxiM2tjOUpETTNnK2NTMWZaT21uRFZUNDN6U2lUYkhDaVVaSStDWnU0T0trNmdETzdqUU5nbmZ3WHBDajgra3k4N2NIOHFSaWZRLzd0N3VtUzRuckpJUjc3QXducFNoTDVvazBiTktXazNSOFNncU1aUEhRM21EYWZFVldjMUdSUFA4Z1A1YVF3QTJod3FFWHozYlZQVDZBRW9zOU4rTU91RXVNMTFRUTZjVXYydSt5d01uM2pPM3RlaEpaeVZWK2VjZlJXbldXL2paWTVTMUJVekVRbzc5QUdRTDRnS0dhcXNpdU1UQzRrNm9aZHNnSmF4WnBKVFpjUS9hU0J0ZzJxR245WFc1em9SRGdKN05yTnRZZ3Iwc3RtYmdkamlXWjZwSnJSSnlCYktuK3VHNVZhZlEvNklXUlRNRWorTVU0QmlaS2pyaUFoQno5MmhRdENOTkx4REZsNUg1YXg3V1UvQmZFOEJLSnNDTkx6ZW1Ubk15ZU8zNllVNDQ0WWZBL2s4dG8zbEJYVEF0MGhUMWdBNnVqaU9VWHpYSTl4MXFzWHJuNzVxc21JVk9TME00bURKNXNnM1RwSzV2L0JqbXRtSThzTURmOXhQeHh1VDBzUVZqOTVEdGJOUW5CbnhENW03c0xLbXdJVHFuZTNCRzBmUXhjRWJmc0VFK1o2ZTI1ZHJLaWVMaUFncnN1aFZnR0xXeU1wQ2liSmNVM2tRRHBaSXByR29ib3JEdk1zQ0dqaDdzdGZXaWx5MWJ0N2RJTnQxbEdTYzNqczB1ZFB4WXVvRVhrcVlkYWhKK2hqR05NZlZvNW1MaTFhSC9RTTFIK2taajB3ejdoYlorcE9uRXN2cEdVVkMwdWxEZTAvaEJJUGwrNmtaVmdGRjAwemRIOWlibmpWNGpVWTNreU9qUGtBeW9FTnFKdmxwK09WZnBVWlBGV200c0RkV0tsZko5cVdpWFNXVW9jdGluSG8zTDlhcitCbm4xNTl1QzBMWG1ERXFNcTFENnBJU2x4cUR1Wnp0UThCaG1hd3JEdWYxNHIzY2ptbk05ZXJJUGxhZEZrQnJ6Zlo5RlJaZjZVVTBNOFR0Q3VDOS9ZTGlPOWZpaHc0TEExd2RZamhYVG1adTZqUkp1S2NUSGo4MU1xV2R6ZjgrWGdJNUJJelI5dWE0RnN1RkJ2bjEyaVErWDRKbWJDSmZRR1M3UzZleUU2cTJQNDNJcHVFRURiNUphOTVhN25UVDNCbmQvVzMyM0hQS2xyd0ZmSDNJbzBuV1hxZy9QTXQwelZWaXBMOWdnbkMzM3RhR1BLK1FpUjFhOVJKZkE4Z2xTemZsSVBTWTFlY21VaFArL0J0QWRTT2YwaCsyMjQ0U1FTTUcwdWpkWFd4eE9RaWxkOExUdERKMTFBUXo1Zk84K0tISGhnN0JuUDRscUlMTlYyRXpucnhnb2E4TGRhNVpaZ1k0UmhIeXRXRHNRZFhIZDhYdlRyVTFvamFrVFFHb09SNjc4Uk9PdUhUUElESWg5cnJUSXoyb1RCSzJEcnhUTU1PL1RiRWhBdkJ5eTdJWEd1UEwrdlB1bVViMXJVT3JzYjhCQ0l1VWx6RWNaRXdPMm85ejd2blB0dmx5Qkcrb3gwalkyaTIxWEQwNU5nQzl3WWs4RDhZQ3pWVWUrOVhCNkhTTkM0ZU14NEU1bTBYNG9ueENINW1MNmVJNEF0TTF5d1BGSFRoMUNpcTBKd01TckQyTnJ0T3czQ0d2NWVXU1kzNlpGTzVkUFV2R1h1Z0tZUkdJNU1sdkJ4ZTU1ZjZ1cFpFQzE4ZEdFOWhncnpzWWI3YSs1MHJFR0ZyTGxsL1pSeVJKcWxuUFkxT2ppTDRWc1FlcmNOU3didkNTcDR6Nm9ZamJSNE40QkJ6K2VULy96TnYwNzBoUUxKSlVoTzZOeHFRWkZabjdDWUdaN3M3ZTZzU1pIdUhiTFRsTTNSU1VBcC8zOUM5aENVUi90b2xMNnZ6VFFGbmJxbUFkdjBQNHNDTHBBTTdxSHlkM2srM1ZDOFdjQStKbWhVdUlLMS9LYlVJdkphbVRQcEF4ZzBHOFVDRW5EbDNlUExnQWRSR3hMUElMK3lVTmRvZUhxSUN1bHh3YTl3eGhoRVVkemhBRWptR01zNnkvekFJNk1xNmRqTW5Ndyt1b0grNm5qdzloOTVQOGVtOHRud3doa2hRVWdqWXNWaU1vOU12cTUrNEdLdkpkRE1hOGp4QTBMaXBlWndFRkhIYmV5TFdMc2lnbW9XMXpCa2g3akFVMUIvSjVXWEtoYUZjNzJ3S3VYbDd4ajRTZFlhZjdaTm1Bd2owOG5YUTZaZU5zc2FlZEdNUDFLR1RNNGFJc09MUGdscXRzaEYzSDFSbVVqZHg0K3pjN01NdzZITnM4Snl4ZjZuWjlqMlFET3QzWE1DN28wK0VFTm9YcU8yZmpTaVlEbklCbHpFTVh2Qmd2M1pDTDEydlRod0FNaU1DdWR5TWp0TnV2SU5GWmNTNGdkUzJNSGRvZHB4UGZhcFU1aEpCWU1TZGp5NCsrU2pBeUVFRiszaGQ2aW53Q2VYa2ZqSXlMRXBiUkw5Mys4VjlYNFFjZkhCRHp1WXVHUmlqL2NESEZnenN0TVJJajAvYWRNUTdKZW91dkcyNGp6WVUzaEJIQzZHdkwrK3l3SXh5K25Mb2xYT0NRRVViaTlueGpISTBVU1FpREJ5eXE1OG9QbW82T1ZmZXlYT0ErU0FRV21IZzllb0VpZUJVY2NDQ0huZW5hc3NFUVMzKzhCSjdSVjZrNkgzRGNFZzdBZ2NVU1A5Q1hNZ0Q4YUhKTUt0ajBMN3lBSkRZWmN3U1RPSlVQZ3RzMkt5bUdENkxqTFlXQ2h4dVFhd1dLMVQ5N1VSZHl6UWNiand6NUphTHpWdXVHLzR2em8veTdCL09qNGZqZnJ0WlIwZVA4b1h5NmFkU1gzTEtURUFyN2ZsZGtCd0kzZUw4d2ZQa0JNQ0N5SWluOEZudjJ0aVBJM2RBSlFnSUNQWS8xM0tLZ1hQdHByUjZMZldLSnpsREZnTGxKekwwc1o1Rys2UDVZYnlYUnVzcXNibnZYSDZKNWVOSWt0SjlaVnIyQ2JlK1N0TlMyaDN5L1dIMEdTNERTVndpbWtGbDNpY1VOazBnZ2ZDOGxQY1pIS1FVOStXSFF2aGhRNndEVVA3T1hidm1yTW9RTmF5U2NqM2lvLzVycGI5d04rM2pNVkhBYnBDWmpydXc4Ym5CTFNOeWFERHRhUldqNkRiVkc4ajhndmRURUFrSFdueWRYYUU4WTBlQlFybHhuS2JTUzg3QjF5dm1uVVBra1BVMWM0KzgyY3F2UEtwdWxLekVlWEUzTnFWSGdST0t5cG9sS3d3c3FBPSJ9&from_sustainable_property_sr=1&from=searchresults
The Circus Hotel,"1,496 zł",https://www.booking.com/hotel/de/the-circus.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iZXJsaW5IM1gEaLYBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKTiYjFBsACAdICJDJjYTFmYmI2LTlkNTQtNGRkZS1hNTM4LTgyNTZhNDIwZjhhOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-08-17&checkout=2025-08-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=67977489519a0367&srepoch=1755448473&all_sr_blocks=2482427_0_2_0_0&highlighted_blocks=2482427_0_2_0_0&matching_block_id=2482427_0_2_0_0&sr_pri_blocks=2482427_0_2_0_0__35131&from=searchresults
TITANIC Gendarmenmarkt Berlin,"1,895 zł",https://www.booking.com/hotel/de/titanic-gendarmenmarkt-berlin.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iZXJsaW5IM1gEaLYBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKTiYjFBsACAdICJDJjYTFmYmI2LTlkNTQtNGRkZS1hNTM4LTgyNTZhNDIwZjhhOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-08-17&checkout=2025-08-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=67977489519a0367&srepoch=1755448473&all_sr_blocks=127852201_0_2_0_0&highlighted_blocks=127852201_0_2_0_0&matching_block_id=127852201_0_2_0_0&sr_pri_blocks=127852201_0_2_0_0__44506&from_sustainable_property_sr=1&from=searchresults
aletto Hotel Kudamm,864 zł,https://www.booking.com/hotel/de/aletto-kudamm-berlin.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iZXJsaW5IM1gEaLYBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKTiYjFBsACAdICJDJjYTFmYmI2LTlkNTQtNGRkZS1hNTM4LTgyNTZhNDIwZjhhOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-08-17&checkout=2025-08-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=67977489519a0367&srepoch=1755448473&all_sr_blocks=33869102_338462539_0_2_0&highlighted_blocks=33869102_338462539_0_2_0&matching_block_id=33869102_338462539_0_2_0&sr_pri_blocks=33869102_338462539_0_2_0__20298&from=searchresults
Holiday 33 Apartment M Schönhauser Allee,"3,427 zł",https://www.booking.com/hotel/de/holiday-33-apartment-m-schonhauser-allee.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iZXJsaW5IM1gEaLYBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKTiYjFBsACAdICJDJjYTFmYmI2LTlkNTQtNGRkZS1hNTM4LTgyNTZhNDIwZjhhOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-08-17&checkout=2025-08-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=67977489519a0367&srepoch=1755448473&all_sr_blocks=1266626301_407207282_2_0_0&highlighted_blocks=1266626301_407207282_2_0_0&matching_block_id=1266626301_407207282_2_0_0&sr_pri_blocks=1266626301_407207282_2_0_0__80500&from=searchresults
Hotel Xantener Eck,724 zł,https://www.booking.com/hotel/de/pension-xantener-eck.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iZXJsaW5IM1gEaLYBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKTiYjFBsACAdICJDJjYTFmYmI2LTlkNTQtNGRkZS1hNTM4LTgyNTZhNDIwZjhhOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-08-17&checkout=2025-08-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=67977489519a0367&srepoch=1755448473&all_sr_blocks=7398102_408923279_2_1_0&highlighted_blocks=7398102_408923279_2_1_0&matching_block_id=7398102_408923279_2_1_0&sr_pri_blocks=7398102_408923279_2_1_0__17000&from=searchresults
nhow Berlin,"1,531 zł",https://www.booking.com/hotel/de/nhow-berlin.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iZXJsaW5IM1gEaLYBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKTiYjFBsACAdICJDJjYTFmYmI2LTlkNTQtNGRkZS1hNTM4LTgyNTZhNDIwZjhhOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-08-17&checkout=2025-08-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=67977489519a0367&srepoch=1755448473&all_sr_blocks=24316313_108769218_0_2_0&highlighted_blocks=24316313_108769218_0_2_0&matching_block_id=24316313_108769218_0_2_0&sr_pri_blocks=24316313_108769218_0_2_0__35955&from_sustainable_property_sr=1&from=searchresults
Pegasus Hostel Berlin,"1,073 zł",https://www.booking.com/hotel/de/pegasushostel.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iZXJsaW5IM1gEaLYBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKTiYjFBsACAdICJDJjYTFmYmI2LTlkNTQtNGRkZS1hNTM4LTgyNTZhNDIwZjhhOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-08-17&checkout=2025-08-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=67977489519a0367&srepoch=1755448473&all_sr_blocks=6225104_338447681_0_42_0_683462&highlighted_blocks=6225104_338447681_0_42_0_683462&matching_block_id=6225104_338447681_0_42_0_683462&sr_pri_blocks=6225104_338447681_0_42_0_683462_25200&from=searchresults
Hotel Arena Inn - Berlin Mitte,"1,034 zł",https://www.booking.com/hotel/de/arena-inn-13353.en-gb.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9iZXJsaW5IM1gEaLYBiAEBmAEzuAEXyAEM2AED6AEB-AEBiAIBqAIBuAKTiYjFBsACAdICJDJjYTFmYmI2LTlkNTQtNGRkZS1hNTM4LTgyNTZhNDIwZjhhOdgCAeACAQ&ucfs=1&arphpl=1&checkin=2025-08-17&checkout=2025-08-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=67977489519a0367&srepoch=1755448473&all_sr_blocks=44012702_88936249_2_2_0&highlighted_blocks=44012702_88936249_2_2_0&matching_block_id=44012702_88936249_2_2_0&sr_pri_blocks=44012702_88936249_2_2_0__24294&from=searchresults
